cubeJuliaTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x,cubeRomeo.mass, cubeRomeoImpulse, cubeRomeoKinetic, cubeJulia.position.x, cubeJulia.velocity.x,cubeJulia.mass, cubeJuliaImpulse, velocityEnd, cubeKineticEnd, forceOnJulia 
2.379998,-0.3355991,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.399998,-0.2947991,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.419998,-0.2539991,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.439998,-0.2131991,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.459998,-0.1723992,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.479998,-0.1315992,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.499998,-0.09079921,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.519998,-0.04999922,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.539998,-0.009199239,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.559998,0.03160074,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.579998,0.07240073,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.599998,0.1132007,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.619998,0.1540007,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.639998,0.1948007,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.659998,0.2356007,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.679998,0.2764006,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.699998,0.3172006,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.719998,0.3580006,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.739998,0.3988006,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.759998,0.4396005,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.779998,0.4804005,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.799998,0.5212005,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.819998,0.5620005,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.839998,0.6028004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.859998,0.6436004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.879998,0.6844004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.899998,0.7252004,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.919998,0.7660003,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.939998,0.8068003,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.959998,0.8476003,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.979998,0.8884003,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
2.999998,0.9292002,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.019998,0.9700002,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.039998,1.0108,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.059998,1.0516,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.079998,1.0924,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.099998,1.1332,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.119998,1.174,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.139998,1.2148,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.159998,1.2556,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
3.179998,1.2964,2.039999,2,4.079998,4.161597,-10.66,0,2,0,1.02,2.080798,2.039999
