currentTimeStep, cubeRomeo.position.x, cubeRomeo.position.y,alphaRomeo,degree,horizonForceRomeo,verticalForceRomeo, -frictionForceRomeo.x + horizonForceRomeo, -frictionForceRomeo.y + verticalForceRomeo, -frictionForceRomeo.z + zAxisForceRomeo
48.79122,-19.92073,0.7568388,-0.01561705,-0.8947913,-0.3063593,19.61538,-0.305653,19.61539,4.415613E-10
48.79622,-19.92085,0.7568374,-0.01559828,-0.8937155,-0.3059913,19.6154,-0.3052346,19.61541,4.569971E-10
48.80122,-19.92096,0.7568359,-0.01557887,-0.8926033,-0.3056107,19.61542,-0.3048039,19.61543,4.725719E-10
48.80622,-19.92108,0.7568343,-0.01555882,-0.8914545,-0.3052177,19.61544,-0.3043573,19.61546,4.879798E-10
48.81122,-19.92121,0.7568327,-0.01553813,-0.8902693,-0.3048123,19.61547,-0.3038985,19.61548,5.035692E-10
48.81622,-19.92134,0.756831,-0.01551681,-0.8890477,-0.3043943,19.6155,-0.3034237,19.61551,5.189458E-10
48.82122,-19.92147,0.7568294,-0.01549485,-0.8877895,-0.3039639,19.61552,-0.3029369,19.61553,5.34546E-10
48.82623,-19.9216,0.7568277,-0.01547226,-0.8864949,-0.303521,19.61555,-0.302434,19.61556,5.498876E-10
48.83123,-19.92174,0.7568259,-0.01544902,-0.8851638,-0.3030656,19.61558,-0.3019192,19.61559,5.654951E-10
48.83623,-19.92188,0.756824,-0.01542515,-0.8837963,-0.3025977,19.6156,-0.3013882,19.61562,5.807983E-10
48.84123,-19.92203,0.7568221,-0.01540065,-0.8823923,-0.3021174,19.61563,-0.3008442,19.61565,5.962258E-10
48.84623,-19.92218,0.7568201,-0.01537583,-0.8809701,-0.3016308,19.61566,-0.3002975,19.61568,6.124177E-10
48.85123,-19.92233,0.7568181,-0.01535005,-0.8794931,-0.3011255,19.61569,-0.2997246,19.61571,6.276928E-10
48.85623,-19.92249,0.756816,-0.01532395,-0.8779979,-0.300614,19.61572,-0.2991464,19.61574,6.434314E-10
48.86123,-19.92265,0.7568139,-0.01529722,-0.8764663,-0.30009,19.61576,-0.2985517,19.61578,6.586623E-10
48.86623,-19.92282,0.7568117,-0.01526985,-0.8748981,-0.2995535,19.61579,-0.2979439,19.61581,6.740469E-10
48.87123,-19.92298,0.7568094,-0.01524185,-0.8732935,-0.2990045,19.61582,-0.2973216,19.61584,6.892842E-10
48.87624,-19.92315,0.7568071,-0.01521321,-0.8716525,-0.298443,19.61585,-0.2966855,19.61588,7.044983E-10
48.88124,-19.92333,0.7568048,-0.01518393,-0.869975,-0.2978691,19.61589,-0.2960357,19.61591,7.197362E-10
48.88624,-19.92351,0.7568024,-0.01515401,-0.868261,-0.2972827,19.61592,-0.2953726,19.61595,7.350655E-10
48.89124,-19.92369,0.7568,-0.01512346,-0.8665105,-0.2966838,19.61596,-0.2946957,19.61599,7.503766E-10
48.89624,-19.92388,0.7567975,-0.01509227,-0.8647235,-0.2960724,19.616,-0.2940049,19.61602,7.656684E-10
48.90124,-19.92407,0.7567949,-0.01506045,-0.8629001,-0.2954486,19.61603,-0.2933003,19.61606,7.809403E-10
48.90624,-19.92426,0.7567924,-0.01502799,-0.8610403,-0.2948123,19.61607,-0.2925819,19.6161,7.961911E-10
48.91124,-19.92446,0.7567897,-0.01499521,-0.8591622,-0.2941697,19.61611,-0.2918608,19.61614,8.124311E-10
48.91624,-19.92466,0.7567871,-0.01496179,-0.8572477,-0.2935146,19.61615,-0.2911195,19.61618,8.273441E-10
48.92125,-19.92487,0.7567843,-0.01492774,-0.8552966,-0.2928471,19.61619,-0.2903654,19.61622,8.42476E-10
48.92625,-19.92507,0.7567815,-0.01489305,-0.853309,-0.2921671,19.61623,-0.2895968,19.61626,8.573722E-10
48.93125,-19.92529,0.7567787,-0.01485773,-0.851285,-0.2914746,19.61627,-0.2888147,19.6163,8.723129E-10
48.93625,-19.9255,0.7567759,-0.01482177,-0.8492246,-0.2907696,19.61631,-0.2880192,19.61634,8.872734E-10
48.94125,-19.92572,0.7567729,-0.01478517,-0.8471277,-0.2900522,19.61635,-0.2872106,19.61639,9.023559E-10
48.94625,-19.92594,0.75677,-0.01474825,-0.8450126,-0.2893285,19.61639,-0.2864001,19.61643,9.186573E-10
48.95125,-19.92617,0.756767,-0.0147107,-0.8428609,-0.2885922,19.61643,-0.2855687,19.61647,9.333162E-10
48.95625,-19.9264,0.7567639,-0.01467251,-0.8406729,-0.2878436,19.61648,-0.2847247,19.61652,9.481985E-10
48.96125,-19.92663,0.7567608,-0.01463368,-0.8384483,-0.2870825,19.61652,-0.2838665,19.61656,9.629297E-10
48.96626,-19.92686,0.7567577,-0.01459422,-0.8361873,-0.2863088,19.61657,-0.2829946,19.61661,9.775906E-10
48.97126,-19.9271,0.7567545,-0.01455412,-0.8338898,-0.2855227,19.61661,-0.2821096,19.61666,9.923165E-10
48.97626,-19.92735,0.7567513,-0.0145137,-0.831574,-0.2847303,19.61666,-0.2812241,19.6167,1.008632E-09
48.98126,-19.92759,0.756748,-0.01447265,-0.829222,-0.2839255,19.6167,-0.2803171,19.61675,1.023041E-09
48.98626,-19.92784,0.7567447,-0.01443096,-0.8268332,-0.2831082,19.61675,-0.2793977,19.6168,1.037757E-09
48.99126,-19.9281,0.7567414,-0.01438864,-0.8244082,-0.2822784,19.61679,-0.2784638,19.61684,1.052153E-09
48.99626,-19.92835,0.756738,-0.01434567,-0.8219466,-0.2814361,19.61684,-0.2775168,19.61689,1.066615E-09
49.00126,-19.92861,0.7567346,-0.01430239,-0.8194667,-0.2805876,19.61689,-0.2765695,19.61694,1.082747E-09
49.00626,-19.92888,0.7567312,-0.01425847,-0.8169504,-0.2797266,19.61694,-0.275601,19.61699,1.096928E-09
49.01126,-19.92914,0.7567276,-0.01421392,-0.8143976,-0.2788531,19.61699,-0.2746204,19.61704,1.111471E-09
49.01627,-19.92941,0.7567241,-0.01416873,-0.8118085,-0.2779671,19.61704,-0.2736256,19.61709,1.125749E-09
49.02127,-19.92969,0.7567205,-0.0141229,-0.8091828,-0.2770686,19.61709,-0.2726172,19.61714,1.139926E-09
49.02627,-19.92997,0.7567169,-0.01407676,-0.8065388,-0.2761639,19.61714,-0.2716089,19.6172,1.155896E-09
49.03127,-19.93025,0.7567133,-0.01402998,-0.8038584,-0.2752467,19.61719,-0.2705815,19.61725,1.170389E-09
49.03627,-19.93053,0.7567096,-0.01398288,-0.8011598,-0.2743233,19.61724,-0.2695469,19.6173,1.184821E-09
49.04127,-19.93081,0.7567059,-0.01393514,-0.7984247,-0.2733873,19.61729,-0.2684968,19.61735,1.198647E-09
49.04627,-19.9311,0.7567021,-0.01388677,-0.7956531,-0.2724389,19.61734,-0.2674346,19.6174,1.212796E-09
49.05127,-19.9314,0.7566984,-0.01383776,-0.7928451,-0.2714781,19.61739,-0.2663586,19.61746,1.226734E-09
49.05627,-19.9317,0.7566946,-0.01378811,-0.7900007,-0.2705047,19.61745,-0.2652691,19.61751,1.240579E-09
49.06128,-19.932,0.7566907,-0.01373815,-0.7871379,-0.2695251,19.6175,-0.2641809,19.61757,1.256522E-09
49.06628,-19.9323,0.7566869,-0.01368755,-0.7842386,-0.2685329,19.61755,-0.2630704,19.61762,1.270073E-09
49.07128,-19.93261,0.756683,-0.01363631,-0.781303,-0.2675283,19.61761,-0.2619483,19.61768,1.284053E-09
49.07628,-19.93291,0.7566791,-0.01358476,-0.7783492,-0.2665175,19.61766,-0.2608185,19.61773,1.297724E-09
49.08128,-19.93323,0.7566751,-0.01353256,-0.7753588,-0.2654942,19.61771,-0.2596753,19.61779,1.311281E-09
49.08628,-19.93354,0.7566711,-0.01347973,-0.7723319,-0.2644584,19.61777,-0.2585183,19.61784,1.324622E-09
49.09128,-19.93386,0.7566671,-0.01342659,-0.7692869,-0.2634163,19.61782,-0.2573559,19.6179,1.338284E-09
49.09628,-19.93419,0.7566631,-0.01337281,-0.7662054,-0.2623618,19.61788,-0.2561812,19.61796,1.352114E-09
49.10128,-19.93451,0.756659,-0.01331839,-0.7630873,-0.2612947,19.61794,-0.2549933,19.61801,1.365891E-09
49.10629,-19.93484,0.7566549,-0.01326365,-0.7599511,-0.2602214,19.61799,-0.2537987,19.61807,1.379615E-09
49.11129,-19.93517,0.7566508,-0.01320828,-0.7567785,-0.2591356,19.61805,-0.252591,19.61813,1.393284E-09
49.11629,-19.93551,0.7566467,-0.01315226,-0.7535692,-0.2580374,19.6181,-0.2513703,19.61819,1.406898E-09
49.12129,-19.93584,0.7566425,-0.01309594,-0.7503419,-0.2569329,19.61816,-0.2501531,19.61824,1.423248E-09
49.12629,-19.93618,0.7566383,-0.01303929,-0.7470963,-0.2558221,19.61822,-0.2489189,19.6183,1.436785E-09
49.13129,-19.93653,0.7566342,-0.01298201,-0.7438142,-0.2546989,19.61827,-0.2476691,19.61836,1.449532E-09
49.13629,-19.93687,0.7566299,-0.01292409,-0.7404957,-0.2535631,19.61833,-0.246407,19.61842,1.462423E-09
49.14129,-19.93723,0.7566257,-0.01286553,-0.7371407,-0.2524149,19.61839,-0.2451326,19.61847,1.475486E-09
49.14629,-19.93758,0.7566215,-0.01280666,-0.7337674,-0.2512604,19.61844,-0.2438593,19.61853,1.49086E-09
49.15129,-19.93793,0.7566172,-0.01274746,-0.7303759,-0.2500997,19.6185,-0.2425726,19.61859,1.504056E-09
49.1563,-19.93829,0.7566129,-0.01268763,-0.7269479,-0.2489265,19.61856,-0.2412706,19.61865,1.516466E-09
49.1613,-19.93865,0.7566086,-0.01262717,-0.7234835,-0.2477408,19.61862,-0.239957,19.61871,1.529191E-09
49.1663,-19.93902,0.7566043,-0.01256639,-0.7200009,-0.2465489,19.61868,-0.2386365,19.61877,1.541759E-09
49.1713,-19.93939,0.7565999,-0.01250497,-0.7164817,-0.2453444,19.61874,-0.2373026,19.61883,1.554045E-09
49.1763,-19.93976,0.7565956,-0.01244323,-0.7129444,-0.2441338,19.6188,-0.2359629,19.61889,1.566482E-09
49.1813,-19.94013,0.7565912,-0.01238085,-0.7093706,-0.2429106,19.61886,-0.2346117,19.61895,1.579207E-09
49.1863,-19.94051,0.7565868,-0.01231816,-0.7057786,-0.2416812,19.61892,-0.2332545,19.61901,1.592013E-09
49.1913,-19.94089,0.7565824,-0.01225483,-0.70215,-0.2404393,19.61897,-0.2318845,19.61907,1.604753E-09
49.1963,-19.94127,0.756578,-0.01219118,-0.6985033,-0.2391911,19.61903,-0.2305082,19.61913,1.617429E-09
49.20131,-19.94165,0.7565736,-0.0121269,-0.6948202,-0.2379304,19.61909,-0.2291192,19.61919,1.630038E-09
49.20631,-19.94204,0.7565691,-0.0120623,-0.6911187,-0.2366635,19.61915,-0.2277238,19.61926,1.64258E-09
49.21131,-19.94243,0.7565647,-0.01199706,-0.6873808,-0.2353841,19.61921,-0.2263158,19.61932,1.655053E-09
49.21631,-19.94282,0.7565603,-0.0119315,-0.6836247,-0.2340985,19.61927,-0.2249014,19.61938,1.667459E-09
49.22131,-19.94322,0.7565558,-0.01186531,-0.679832,-0.2328003,19.61933,-0.2234745,19.61944,1.679796E-09
49.22631,-19.94362,0.7565513,-0.0117988,-0.6760213,-0.2314959,19.61939,-0.2220534,19.61949,1.695661E-09
49.23131,-19.94402,0.7565469,-0.01173197,-0.6721922,-0.2301853,19.61945,-0.220614,19.61956,1.707891E-09
49.23631,-19.94442,0.7565424,-0.0116645,-0.6683267,-0.2288622,19.61951,-0.2191589,19.61962,1.719111E-09
49.24131,-19.94483,0.7565379,-0.01159672,-0.664443,-0.2275328,19.61957,-0.2176987,19.61968,1.730617E-09
49.24632,-19.94524,0.7565334,-0.0115283,-0.6605227,-0.2261909,19.61963,-0.2162259,19.61974,1.74204E-09
49.25132,-19.94565,0.756529,-0.01145956,-0.6565843,-0.2248428,19.61969,-0.2147467,19.6198,1.753271E-09
49.25632,-19.94607,0.7565245,-0.01139018,-0.6526093,-0.2234822,19.61975,-0.2132553,19.61986,1.764504E-09
49.26132,-19.94649,0.75652,-0.01132049,-0.6486163,-0.2221153,19.61981,-0.2117721,19.61992,1.779791E-09
49.26632,-19.94691,0.7565156,-0.01125048,-0.6446049,-0.2207422,19.61987,-0.2102705,19.61998,1.791454E-09
