currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
68.55196,-21.57365,0.7536193,0.01042353,0.5972243,0.2045328,19.62151,0.1883097,19.62168,-2.418681E-09
68.56196,-21.57312,0.7536139,0.01033606,0.5922125,0.202817,19.62158,0.1864514,19.62175,-2.429905E-09
68.57195,-21.5726,0.7536085,0.01024827,0.5871825,0.2010949,19.62164,0.1845877,19.62181,-2.441023E-09
68.58195,-21.57207,0.7536032,0.01015984,0.5821159,0.1993603,19.62171,0.1827124,19.62188,-2.452033E-09
68.59194,-21.57154,0.7535979,0.0100711,0.5770313,0.1976195,19.62178,0.1808317,19.62195,-2.462936E-09
68.60194,-21.571,0.7535926,0.009982033,0.5719283,0.1958724,19.62185,0.1789456,19.62201,-2.473698E-09
68.61193,-21.57047,0.7535873,0.009892652,0.5668072,0.1941191,19.62191,0.1770542,19.62208,-2.484384E-09
68.62193,-21.56993,0.7535821,0.009802952,0.5616678,0.1923595,19.62198,0.1751576,19.62214,-2.494963E-09
68.63192,-21.56939,0.7535769,0.009712935,0.5565102,0.1905936,19.62204,0.1732556,19.62221,-2.505432E-09
68.64191,-21.56885,0.7535717,0.009622601,0.5513344,0.1888215,19.62211,0.1713485,19.62227,-2.515791E-09
68.65191,-21.5683,0.7535665,0.009531949,0.5461404,0.1870432,19.62217,0.169436,19.62234,-2.52604E-09
68.6619,-21.56775,0.7535614,0.00944066,0.5409099,0.1852523,19.62223,0.1675121,19.6224,-2.536179E-09
68.6719,-21.56721,0.7535563,0.009349052,0.5356612,0.1834552,19.6223,0.1655831,19.62246,-2.546207E-09
68.68189,-21.56665,0.7535512,0.009257127,0.5303943,0.1816519,19.62236,0.1636488,19.62253,-2.556124E-09
68.69189,-21.5661,0.7535461,0.009164885,0.5251092,0.1798423,19.62242,0.1617095,19.62259,-2.565929E-09
68.70188,-21.56555,0.7535411,0.009072323,0.5198058,0.1780264,19.62248,0.159765,19.62265,-2.575622E-09
68.71188,-21.56499,0.7535362,0.008979444,0.5144843,0.1762043,19.62255,0.1578154,19.62271,-2.585202E-09
68.72187,-21.56443,0.7535312,0.008886248,0.5091445,0.174376,19.62261,0.1558607,19.62277,-2.59467E-09
68.73186,-21.56387,0.7535263,0.008792732,0.5037864,0.1725413,19.62267,0.1539009,19.62283,-2.604024E-09
68.74186,-21.56331,0.7535214,0.008698899,0.4984102,0.1707004,19.62273,0.1519362,19.62289,-2.613265E-09
